5541,2023-06-17 19:37:15.630314
4205,2023-06-17 19:37:19.599537
7844,2023-06-17 19:40:51.505161
11778,2023-06-17 19:40:53.806901
4293,2023-06-17 19:44:15.970731
0,2023-06-17 19:59:08.341232
7234,2023-06-17 19:54:54.547391
9041,2023-06-17 19:54:56.627497
13390,2023-06-17 19:54:58.685244
9651,2023-06-17 19:58:47.266747
8503,2023-06-17 19:59:35.795889
2695,2023-06-17 19:59:37.644050
4354,2023-06-17 20:01:35.927838
6914,2023-06-17 20:01:41.566272
9097,2023-06-17 20:01:45.774557
5494,2023-06-17 20:03:52.692244
10040,2023-06-17 20:04:04.016402
11567,2023-06-17 20:04:04.852488
1863,2023-06-17 20:04:05.708490
11471,2023-06-17 20:05:02.264348
10340,2023-06-17 20:05:04.304740
12665,2023-06-17 20:05:07.766270
4588,2023-06-17 20:05:10.217668
10732,2023-06-17 20:05:13.297050
4896,2023-06-17 20:05:15.269998
11414,2023-06-17 20:05:46.064399
